scenario,n,p,method,time_mean,time_std,time_median,time_q05,time_q95,n_reps,skipped,fallback,mean,std,median,q05,q95
A,1000,100,xi_n,0.2843854039333261,0.04187283386976412,0.26568171000030816,0.2548150704000136,0.36655319084993604,30,False,False,,,,,
A,1000,100,mi,0.006255479766681068,0.004338096794379021,0.004711259999794493,0.004577526949969979,0.014747623550033489,30,False,False,,,,,
A,1000,100,dc,0.0009234752666846664,4.064508836879793e-05,0.0009108390001983935,0.0008899567500293415,0.000997972750133158,30,False,False,,,,,
A,1000,100,mic,1.472387283033322,0.08600219111896981,1.4624796715002049,1.3600372257498066,1.6324357083497487,30,False,True,,,,,
A,1000,100,pearson,0.00036847563336171637,2.9609353046879814e-05,0.0003599310000481637,0.0003424974501513134,0.00044024594997154053,30,False,False,,,,,
A,1000,100,spearman,0.0005193117000089842,3.0256692288240805e-05,0.0005105029999867838,0.0004831754498582086,0.0005792034502519527,30,False,False,,,,,
A,5000,100,xi_n,4.896761165366707,0.08246990268405069,4.899247811500118,4.785345082649906,5.004169170100022,30,False,False,,,,,
A,5000,100,mi,0.02307508040000054,0.0036551851417083833,0.02141525349998119,0.021220455049979138,0.02947020409985725,30,False,False,,,,,
A,5000,100,dc,0.005771742199992029,4.686755181471819e-05,0.005758478500183628,0.00572022579995064,0.0058523163499103244,30,False,False,,,,,
A,5000,100,mic,3.015094303433322,1.2668969888269845,2.5393485634999706,2.404120559800208,5.701861543099762,30,False,True,,,,,
A,5000,100,pearson,0.0004490660999939185,9.667051758478491e-05,0.000410570999747506,0.0003716417498253577,0.0006553518999453445,30,False,False,,,,,
A,5000,100,spearman,0.0013007316333187191,9.240467126911258e-05,0.0012758810000832455,0.0012534793998383975,0.0014887630499515574,30,False,False,,,,,
A,10000,100,xi_n,20.975892314599967,1.2379917653468164,20.57069791050003,20.405679783499863,23.221008432950082,30,False,False,,,,,
A,10000,100,mi,0.05707399159996385,0.023521097368338503,0.05038469500004794,0.043123675599781565,0.08924625500017097,30,False,False,,,,,
